,IVV
2012-01-03,104.8020014336
2012-01-04,104.8920515833
2012-01-05,105.2358794274
2012-01-06,105.0066608646
2012-01-09,105.1376429005
2012-01-10,106.0872626604
2012-01-11,106.1691264328
2012-01-12,106.4229041273
2012-01-13,106.0135852652
2012-01-17,106.2182446962
2012-01-18,107.4052693961
2012-01-19,108.0110613119
2012-01-20,107.9865021802
2012-01-23,108.0847387071
2012-01-24,107.9865021802
2012-01-25,108.8870036767
2012-01-26,108.3303300243
2012-01-27,108.2648390064
2012-01-30,107.8882656533
2012-01-31,107.8718928988
2012-02-01,108.7805807725
2012-02-02,109.0179857125
2012-02-03,110.5488382565
2012-02-06,110.4096698434
2012-02-07,110.7043794241
2012-02-08,111.0318345137
2012-02-09,111.1873756813
2012-02-10,110.4178562206
2012-02-13,111.1873756813
2012-02-14,111.0645800226
2012-02-15,110.5733973882
2012-02-16,111.7604220881
2012-02-17,112.030572537
2012-02-21,112.1124363094
2012-02-22,111.7358629564
2012-02-23,112.267977477
2012-02-24,112.4562641535
2012-02-27,112.7018554708
2012-02-28,113.0129378059
2012-02-29,112.4153322673
2012-03-01,113.1439198417
2012-03-02,112.8492102611
2012-03-05,112.3825867584
2012-03-06,110.6470747834
2012-03-07,111.4738988847
2012-03-08,112.5708734349
2012-03-09,113.0129378059
2012-03-12,113.0293105604
2012-03-13,115.0677184933
2012-03-14,114.9203637029
2012-03-15,115.6080193912
2012-03-16,115.7635605587
2012-03-19,116.2383704387
2012-03-20,115.8863562173
2012-03-21,115.6735104091
2012-03-22,114.8794318167
2012-03-23,115.2723779243
2012-03-26,116.8133218155
2012-03-27,116.4926319978
2012-03-28,115.9417033365
2012-03-29,115.7032416772
2012-03-30,116.1143824691
2012-04-02,117.0271150273
2012-04-03,116.583082972
2012-04-04,115.3414377802
2012-04-05,115.3661062278
2012-04-09,114.0422328776
2012-04-10,112.1592080504
2012-04-11,112.9321527393
2012-04-12,114.5438246438
2012-04-13,113.1377231353
2012-04-16,113.047272161
2012-04-17,114.7329494081
2012-04-18,114.3875911429
2012-04-19,113.7050974282
2012-04-20,113.8037712183
2012-04-23,112.8828158442
2012-04-24,113.302179452
2012-04-25,114.8974057249
2012-04-26,115.662127598
2012-04-27,115.867697994
2012-04-30,115.3496605961
2012-05-01,116.1143824691
2012-05-02,115.8101382831
2012-05-03,114.9467426199
2012-05-04,113.0554949769
2012-05-07,113.1048318719
2012-05-08,112.6443541849
2012-05-09,111.9700832861
2012-05-10,112.2332133929
2012-05-11,111.8549638643
2012-05-14,110.6955468309
2012-05-15,110.0459443796
2012-05-16,109.6348035876
2012-05-17,108.0066860514
2012-05-18,107.0775078616
2012-05-21,108.8947501621
2012-05-22,109.0838749264
2012-05-23,109.1496574531
2012-05-24,109.2318856115
2012-05-25,109.001646768
2012-05-29,110.3090744865
2012-05-30,108.6974025819
2012-05-31,108.4178268434
2012-06-01,105.876976749
2012-06-04,105.7454116956
2012-06-05,106.3456772519
2012-06-06,108.8371904512
2012-06-07,108.9769783205
2012-06-08,109.7910370886
2012-06-11,108.9852011363
2012-06-12,109.7499230094
2012-06-13,109.0098695838
2012-06-14,110.1199497222
2012-06-15,111.1724701496
2012-06-18,111.4273774407
2012-06-19,112.5780314192
2012-06-20,112.3467123556
2012-06-21,109.8930780023
2012-06-22,110.6696491444
2012-06-25,108.8686650064
2012-06-26,109.4304398751
2012-06-27,110.4631142662
2012-06-28,110.1987496221
2012-06-29,112.9745783854
2012-07-02,113.2141588441
2012-07-03,113.9824685911
2012-07-05,113.4620006979
2012-07-06,112.3136667751
2012-07-09,112.2227914286
2012-07-10,111.2727309888
2012-07-11,111.2314240132
2012-07-12,110.7192175152
2012-07-13,112.6028156046
2012-07-16,112.3384509604
2012-07-17,113.0984993123
2012-07-18,114.0155141716
2012-07-19,114.2468332352
2012-07-20,113.1893746587
2012-07-23,112.0823477115
2012-07-24,111.1488100619
2012-07-25,111.1075030863
2012-07-26,112.9084872243
2012-07-27,115.1060183286
2012-07-30,115.0316657724
2012-07-31,114.3790155572
2012-08-01,114.1394350985
2012-08-02,113.3463411661
2012-08-03,115.5521336655
2012-08-06,115.8247597048
2012-08-07,116.4113187589
2012-08-08,116.5765466615
2012-08-09,116.6508992176
2012-08-10,116.79960433
2012-08-13,116.7500359592
2012-08-14,116.8161271202
2012-08-15,116.9483094423
2012-08-16,117.7744489551
2012-08-17,117.9644610431
2012-08-20,117.9975066236
2012-08-21,117.6174824477
2012-08-22,117.6422666331
2012-08-23,116.7004675884
2012-08-24,117.4522545451
2012-08-27,117.4026861744
2012-08-28,117.2787652474
2012-08-29,117.3944247792
2012-08-30,116.5517624761
2012-08-31,117.2126740864
2012-09-04,116.7169903787
2012-09-05,116.8822182812
2012-09-06,119.2532386832
2012-09-07,119.7902293666
2012-09-10,119.046703805
2012-09-11,119.3441140296
2012-09-12,119.8232749471
2012-09-13,121.7151344315
2012-09-14,122.1695111636
2012-09-17,121.7894869877
2012-09-18,121.6738274559
2012-09-19,121.7647028023
2012-09-20,121.7151344315
2012-09-21,121.5829521095
2012-09-24,121.4590311826
2012-09-25,120.2515308
2012-09-26,119.5620532471
2012-09-27,120.7084135158
2012-09-28,119.9524802951
2012-10-01,120.3844421355
2012-10-02,120.5588882634
2012-10-03,120.9991570623
2012-10-04,121.9544572862
2012-10-05,121.8630807431
2012-10-08,121.4643467365
2012-10-09,120.3179864678
2012-10-10,119.5620532471
2012-10-11,119.6368158733
2012-10-12,119.1300914067
2012-10-15,120.1186194645
2012-10-16,121.4477328196
2012-10-17,121.9295364108
2012-10-18,121.6720206983
2012-10-19,119.5039045378
2012-10-22,119.6368158733
2012-10-23,117.9172754702
2012-10-24,117.6182249653
2012-10-25,117.9754241795
2012-10-26,117.9006615533
2012-10-31,117.5268484221
2012-11-01,119.171626199
2012-11-02,118.0418798472
2012-11-05,118.2993955598
2012-11-06,119.2131609914
2012-11-07,116.5050925304
2012-11-08,115.1178304661
2012-11-09,115.134444383
2012-11-12,115.3587322617
2012-11-13,114.9018495459
2012-11-14,113.4564387722
2012-11-15,113.2072300182
2012-11-16,113.6724196924
2012-11-19,116.0814376485
2012-11-20,116.1229724408
2012-11-21,116.3638742364
2012-11-23,117.8175919686
2012-11-26,117.7760571762
2012-11-27,117.0699657063
2012-11-28,117.967117221
2012-11-29,118.5486043138
2012-11-30,118.5486043138
2012-12-03,117.9920380964
2012-12-04,117.7926710932
2012-12-05,118.0086520133
2012-12-06,118.374158186
2012-12-07,118.7895061095
2012-12-10,118.8974965696
2012-12-11,119.5869741225
2012-12-12,119.7531132919
2012-12-13,119.0054870297
2012-12-14,118.5901391062
2012-12-17,119.9026385443
2012-12-18,121.3231284426
2012-12-19,120.4174182686
2012-12-20,121.0862645826
2012-12-21,119.9826681644
2012-12-24,119.6064421128
2012-12-26,119.0462833247
2012-12-27,118.9292352198
2012-12-28,117.5831820127
2012-12-31,119.6733267442
2013-01-02,122.5911687893
2013-01-03,122.4323177897
2013-01-04,123.0342794724
2013-01-07,122.6496928418
2013-01-08,122.3152696847
2013-01-09,122.6413322628
2013-01-10,123.5693565236
2013-01-11,123.6278805761
2013-01-14,123.5191930501
2013-01-15,123.5693565236
2013-01-16,123.5191930501
2013-01-17,124.3552509426
2013-01-18,124.6813135207
2013-01-22,125.2916357823
2013-01-23,125.5257319922
2013-01-24,125.559174308
2013-01-25,126.1778571485
2013-01-28,126.1778571485
2013-01-29,126.5958860948
2013-01-30,126.1276936749
2013-01-31,125.7932705179
2013-02-01,127.1058814092
2013-02-04,125.7180253075
2013-02-05,126.8801457782
2013-02-06,127.0473573567
2013-02-07,126.8968669361
2013-02-08,127.5406315134
2013-02-11,127.4988286187
2013-02-12,127.7830883022
2013-02-13,127.8666940915
2013-02-14,128.0171845121
2013-02-15,127.8750546704
2013-02-19,128.7529154576
2013-02-20,127.130963146
2013-02-21,126.3952322005
2013-02-22,127.6075161448
2013-02-25,125.216390572
2013-02-26,126.0691696224
2013-02-27,127.6075161448
2013-02-28,127.4988286187
2013-03-01,127.8165306179
2013-03-04,128.4519346163
2013-03-05,129.614055087
2013-03-06,129.8815936126
2013-03-07,130.1073292436
2013-03-08,130.6591274527
2013-03-11,131.1105987147
2013-03-12,130.8012572944
2013-03-13,130.9851900308
2013-03-14,131.7209209763
2013-03-15,131.5704305556
2013-03-18,130.7761755577
2013-03-19,130.5588005056
2013-03-20,131.3948583982
2013-03-21,130.3079831378
2013-03-22,131.3279737668
2013-03-25,130.89543838
2013-03-26,131.8950890774
2013-03-27,131.8026843911
2013-03-28,132.1891039884
2013-04-01,131.7522818349
2013-04-02,132.373913361
2013-04-03,131.0802477526
2013-04-04,131.5842733143
2013-04-05,131.0214447704
2013-04-08,131.8278856692
2013-04-09,132.3151103788
2013-04-10,133.9699943065
2013-04-11,134.40681646
2013-04-12,134.0539985668
2013-04-15,130.9836428533
2013-04-16,132.8947397748
2013-04-17,130.89543838
2013-04-18,130.1394000374
2013-04-19,131.189453291
2013-04-22,131.8866886514
2013-04-23,133.230756816
2013-04-24,133.2223563899
2013-04-25,133.8523883421
2013-04-26,133.5667738571
2013-04-29,134.4908207203
2013-04-30,134.7848356313
2013-05-01,133.6507781174
2013-05-02,134.8604394656
2013-05-03,136.1961072041
2013-05-06,136.5573255234
2013-05-07,137.2545608837
2013-05-08,137.901393688
2013-05-09,137.5317749427
2013-05-10,137.9601966702
2013-05-13,138.0778026346
2013-05-14,139.5562776156
2013-05-15,140.261913402
2013-05-16,139.5898793197
2013-05-17,140.9591487624
2013-05-20,140.9927504665
2013-05-21,141.1691594131
2013-05-22,140.1107057335
2013-05-23,139.6990848581
2013-05-24,139.5730784677
2013-05-28,140.4299219226
2013-05-29,139.4806737814
2013-05-30,140.0351018993
2013-05-31,138.0189996524
2013-06-03,138.7498367169
2013-06-04,138.1198047647
2013-06-05,136.1205033699
2013-06-06,137.3637664221
2013-06-07,139.1278558882
2013-06-10,139.1110550361
2013-06-11,137.7417855934
2013-06-12,136.5909272275
2013-06-13,138.6658324566
2013-06-14,137.7837877236
2013-06-17,138.9094448114
2013-06-18,139.9258963609
2013-06-19,138.0946034866
2013-06-20,134.582385364
2013-06-21,134.994846282
2013-06-24,133.2643585201
2013-06-25,134.5844014662
2013-06-26,135.9008313892
2013-06-27,136.6944375363
2013-06-28,135.8248478219
2013-07-01,136.9477160939
2013-07-02,136.7282080107
2013-07-03,136.8717325266
2013-07-05,138.3829612536
2013-07-08,139.1427969264
2013-07-09,140.1390259197
2013-07-10,140.1981242498
2013-07-11,142.2243527106
2013-07-12,142.173696999
2013-07-15,142.806893393
2013-07-16,142.2074674734
2013-07-17,142.5114017425
2013-07-18,143.3218931268
2013-07-19,143.6511552517
2013-07-22,143.8791059535
2013-07-23,143.583614303
2013-07-24,143.0770571878
2013-07-25,143.3472209826
2013-07-26,143.5414012101
2013-07-29,143.1192702807
2013-07-30,143.093942425
2013-07-31,143.1445981365
2013-08-01,144.8331218538
2013-08-02,145.09484303
2013-08-05,144.9513185141
2013-08-06,144.1830402227
2013-08-07,143.6173847774
2013-08-08,144.115499274
2013-08-09,143.7186962004
2013-08-12,143.4991881171
2013-08-13,144.0141878509
2013-08-14,143.2459095595
2013-08-15,141.1859106244
2013-08-16,140.7553370765
2013-08-19,139.8519768877
2013-08-20,140.5189437561
2013-08-21,139.6493540416
2013-08-22,140.9157468296
2013-08-23,141.4476318006
2013-08-26,140.8904189739
2013-08-27,138.6193545741
2013-08-28,139.0921412149
2013-08-29,139.3369771539
2013-08-30,138.7966495644
2013-09-03,139.4889442885
2013-09-04,140.6455830349
2013-09-05,140.7891075508
2013-09-06,140.8988615925
2013-09-09,142.3003362778
2013-09-10,143.2881226525
2013-09-11,143.7693519119
2013-09-12,143.4738602614
2013-09-13,143.6764831075
2013-09-16,144.6220563892
2013-09-17,145.2045970716
2013-09-18,146.9100060262
2013-09-19,146.7158257987
2013-09-20,145.6098427638
2013-09-23,145.0019742256
2013-09-24,144.6856892497
2013-09-25,144.2699745333
2013-09-26,144.7196251449
2013-09-27,144.1002950573
2013-09-30,143.2943175459
2013-10-01,144.456621957
2013-10-02,144.2360386381
2013-10-03,142.9973784628
2013-10-04,144.0493912144
2013-10-07,142.8192150129
2013-10-08,141.1902920426
2013-10-09,141.2496798592
2013-10-10,144.3463302976
2013-10-11,145.2456315208
2013-10-14,145.8988975037
2013-10-15,144.7196251449
2013-10-16,146.8066827007
2013-10-17,147.7484037929
2013-10-18,148.7495127017
2013-10-21,148.7749646231
2013-10-22,149.5724581607
2013-10-23,148.995547942
2013-10-24,149.4876184227
2013-10-25,150.1578523532
2013-10-28,150.3275318292
2013-10-29,151.2183490786
2013-10-30,150.4802433577
2013-10-31,149.903333139
2013-11-01,150.3444997768
