,IVV
2002-07-29 00:00:00+00:00,61.0842197639
2002-07-30 00:00:00+00:00,61.9702885621
2002-07-31 00:00:00+00:00,62.2497410292
2002-08-01 00:00:00+00:00,60.3208374147
2002-08-02 00:00:00+00:00,58.9849183036
2002-08-05 00:00:00+00:00,57.0628306029
2002-08-06 00:00:00+00:00,58.7736249748
2002-08-07 00:00:00+00:00,59.9323303263
2002-08-08 00:00:00+00:00,61.9362089929
2002-08-09 00:00:00+00:00,62.1952137185
2002-08-12 00:00:00+00:00,61.8203384578
2002-08-13 00:00:00+00:00,60.4980511743
2002-08-14 00:00:00+00:00,62.8768051018
2002-08-15 00:00:00+00:00,63.7765057276
2002-08-16 00:00:00+00:00,63.517501002
2002-08-19 00:00:00+00:00,65.0306338727
2002-08-20 00:00:00+00:00,64.2604356097
2002-08-21 00:00:00+00:00,65.2282953739
2002-08-22 00:00:00+00:00,65.9371504124
2002-08-23 00:00:00+00:00,64.4172016278
2002-08-26 00:00:00+00:00,64.9352110791
2002-08-27 00:00:00+00:00,64.0082467979
2002-08-28 00:00:00+00:00,62.8018300496
2002-08-29 00:00:00+00:00,62.7950141358
2002-08-30 00:00:00+00:00,62.542825324
2002-09-03 00:00:00+00:00,60.0959122582
2002-09-04 00:00:00+00:00,61.0160606256
2002-09-05 00:00:00+00:00,60.2390464487
2002-09-06 00:00:00+00:00,61.1591948161
2002-09-09 00:00:00+00:00,61.9293930791
2002-09-10 00:00:00+00:00,62.5155616687
2002-09-11 00:00:00+00:00,62.174765977
2002-09-12 00:00:00+00:00,61.0296924532
2002-09-13 00:00:00+00:00,60.9956128841
2002-09-16 00:00:00+00:00,61.250800698
2002-09-17 00:00:00+00:00,59.8131491783
2002-09-18 00:00:00+00:00,59.1490910954
2002-09-19 00:00:00+00:00,57.8278208892
2002-09-20 00:00:00+00:00,57.8825885661
2002-09-23 00:00:00+00:00,57.2185304832
2002-09-24 00:00:00+00:00,56.3970153291
2002-09-25 00:00:00+00:00,57.7182855353
2002-09-26 00:00:00+00:00,58.690411801
2002-09-27 00:00:00+00:00,56.7735431081
2002-09-30 00:00:00+00:00,56.0615633079
2002-10-01 00:00:00+00:00,58.7041037202
2002-10-02 00:00:00+00:00,56.8899244216
2002-10-03 00:00:00+00:00,56.273788056
2002-10-04 00:00:00+00:00,55.3838133057
2002-10-07 00:00:00+00:00,53.9187779476
2002-10-08 00:00:00+00:00,54.9045961325
2002-10-09 00:00:00+00:00,53.4943284513
2002-10-10 00:00:00+00:00,55.2263562345
2002-10-11 00:00:00+00:00,57.4786769487
2002-10-14 00:00:00+00:00,57.8962804854
2002-10-15 00:00:00+00:00,60.8058133228
2002-10-16 00:00:00+00:00,59.3202400858
2002-10-17 00:00:00+00:00,60.4224395842
2002-10-18 00:00:00+00:00,60.7578916055
2002-10-21 00:00:00+00:00,61.7437097904
2002-10-22 00:00:00+00:00,61.2918764557
2002-10-23 00:00:00+00:00,61.7779395885
2002-10-24 00:00:00+00:00,60.4566693823
2002-10-25 00:00:00+00:00,61.6820961539
2002-10-28 00:00:00+00:00,61.3329522134
2002-10-29 00:00:00+00:00,60.5935885747
2002-10-30 00:00:00+00:00,61.196033021
2002-10-31 00:00:00+00:00,60.7236618074
2002-11-01 00:00:00+00:00,61.8600911039
2002-11-04 00:00:00+00:00,62.3940759541
2002-11-05 00:00:00+00:00,62.9006769658
2002-11-06 00:00:00+00:00,63.5578890891
2002-11-07 00:00:00+00:00,62.0449320136
2002-11-08 00:00:00+00:00,61.3671820115
2002-11-11 00:00:00+00:00,60.4292855439
2002-11-12 00:00:00+00:00,60.8058133228
2002-11-13 00:00:00+00:00,60.6757400901
2002-11-14 00:00:00+00:00,62.1544673675
2002-11-15 00:00:00+00:00,62.6131466618
2002-11-18 00:00:00+00:00,61.9970102963
2002-11-19 00:00:00+00:00,61.8532451443
2002-11-20 00:00:00+00:00,62.6131466618
2002-11-21 00:00:00+00:00,64.4615557586
2002-11-22 00:00:00+00:00,64.0644901008
2002-11-25 00:00:00+00:00,64.2698688893
2002-11-26 00:00:00+00:00,62.8322173696
2002-11-27 00:00:00+00:00,64.5573991932
2002-11-29 00:00:00+00:00,64.2014092931
2002-12-02 00:00:00+00:00,64.4410178797
2002-12-03 00:00:00+00:00,63.5989648468
2002-12-04 00:00:00+00:00,63.290896664
2002-12-05 00:00:00+00:00,62.4899193887
2002-12-06 00:00:00+00:00,63.0102123197
2002-12-09 00:00:00+00:00,61.2302628191
2002-12-10 00:00:00+00:00,62.0517779732
2002-12-11 00:00:00+00:00,62.270848681
2002-12-12 00:00:00+00:00,62.1613133271
2002-12-13 00:00:00+00:00,61.1618032229
2002-12-16 00:00:00+00:00,62.7586917633
2002-12-17 00:00:00+00:00,62.2428668995
2002-12-18 00:00:00+00:00,61.527589755
2002-12-19 00:00:00+00:00,61.0255202209
2002-12-20 00:00:00+00:00,61.7958186842
2002-12-23 00:00:00+00:00,61.9746379703
2002-12-24 00:00:00+00:00,61.5344674199
2002-12-26 00:00:00+00:00,61.4725684362
2002-12-27 00:00:00+00:00,60.0970354661
2002-12-30 00:00:00+00:00,60.6128603299
2002-12-31 00:00:00+00:00,60.7641689566
2003-01-02 00:00:00+00:00,62.6967927797
2003-01-03 00:00:00+00:00,62.8412237415
2003-01-06 00:00:00+00:00,64.0104267662
2003-01-07 00:00:00+00:00,63.6252775345
2003-01-08 00:00:00+00:00,62.8824897306
2003-01-09 00:00:00+00:00,63.8866287988
2003-01-10 00:00:00+00:00,64.0310597607
2003-01-13 00:00:00+00:00,64.0104267662
2003-01-14 00:00:00+00:00,64.0448150904
2003-01-15 00:00:00+00:00,63.3914369296
2003-01-16 00:00:00+00:00,63.0269206925
2003-01-17 00:00:00+00:00,62.4354415153
2003-01-21 00:00:00+00:00,61.2662384907
2003-01-22 00:00:00+00:00,60.5440836814
2003-01-23 00:00:00+00:00,61.0255202209
2003-01-24 00:00:00+00:00,59.3542476622
2003-01-27 00:00:00+00:00,58.4807842261
2003-01-28 00:00:00+00:00,59.0309974142
2003-01-29 00:00:00+00:00,59.5055562889
2003-01-30 00:00:00+00:00,58.116267989
2003-01-31 00:00:00+00:00,59.2648380191
2003-02-03 00:00:00+00:00,59.2785933488
2003-02-04 00:00:00+00:00,58.6664811771
2003-02-05 00:00:00+00:00,58.3363532643
2003-02-06 00:00:00+00:00,57.6898527683
2003-02-07 00:00:00+00:00,57.4697674931
2003-02-10 00:00:00+00:00,57.7379964222
2003-02-11 00:00:00+00:00,57.4147461743
2003-02-12 00:00:00+00:00,56.5344050734
2003-02-13 00:00:00+00:00,56.596304057
2003-02-14 00:00:00+00:00,57.7861400762
