,IYC,IDU,IYZ,IYW,IYJ,IYH,IYF,IYE,IYK,IYM,IYR
2012-01-03,16.3441114905,31.5939410197,16.4488111118,14.7676084977,28.2368603047,62.6803280077,21.1379761069,29.7757729356,55.3682062112,55.4625778492,40.0670374611
2012-01-04,16.3872717571,31.4485645512,16.2481217223,14.8245032754,28.3503489997,62.3943934177,21.0410708945,29.8486456055,55.4892560717,55.84645967,39.6184212264
2012-01-05,16.4667775114,31.4703710215,16.1477770276,14.9200865019,28.3765386985,62.6629986386,21.2770140203,29.6810384647,55.69907583,55.6795545305,39.9058160018
2012-01-06,16.4576911395,31.2668439655,16.1169017369,14.9451202041,28.3634438491,62.7409807996,21.1927486182,29.5425803918,55.4085561647,55.512649391,39.8357197151
2012-01-09,16.4599627324,31.3286289647,16.1477770276,14.9178107108,28.5773263897,62.8882804368,21.2685874801,29.6956129986,55.5457460066,55.4625778492,39.7235656564
2012-01-10,16.5371968938,31.3649730818,16.3175911264,14.9929118174,28.9876316716,63.4688143014,21.6098623584,29.9506673434,55.9250355697,56.6476043395,40.1651722625
2012-01-11,16.5871719393,31.2450374953,16.4102169984,15.0361518484,29.1098502662,63.5467964624,21.8205258636,29.5571549258,55.6667958672,57.2067365568,40.5226633245
2012-01-12,16.6144310551,31.1941557313,16.5645934518,15.0816676706,29.3804771543,63.7027607842,21.879511645,29.265664246,55.8443356626,58.1580958518,40.2562974351
2012-01-13,16.5644560095,31.1458543996,16.4719675798,14.9747054885,29.1316750152,63.4514849324,21.7446870017,29.1563552411,55.6022359416,57.5155110648,40.4385477805
2012-01-17,16.6553197287,31.1941557313,16.4410922891,15.0566339684,29.2713534091,63.8673897906,21.6140756285,29.3603987169,55.7951087194,57.7074519752,40.6453318262
2012-01-18,16.8756642478,31.172349261,16.6495005012,15.322901528,29.6205493937,64.222641857,21.9132178059,29.8486456055,56.078365393,58.5920492144,40.9081929012
2012-01-19,17.0551200932,30.8997683825,16.7035322599,15.4457942478,29.9391907296,64.2235083254,22.08174861,29.9871036784,56.1606792982,58.6337754993,41.1675491619
2012-01-20,16.966527967,30.9579189699,16.6649381466,15.4981374433,29.795147386,64.222641857,22.203933443,29.9433800764,56.1752052815,58.4835608738,41.3638187645
2012-01-23,16.9528984091,31.0487792628,16.5723122745,15.5482048477,29.7514978879,63.9367072669,22.2544926842,30.1692853532,55.9895954953,58.5753587005,41.4899920806
2012-01-24,16.9801575248,30.8198113249,16.4179358211,15.5755143409,29.7776875868,64.0146894279,22.2418528739,30.0891254163,55.9653855232,58.5920492144,41.7213098266
2012-01-25,17.1005519528,31.299553671,16.6031875652,15.7348197185,30.1006938725,64.5952232925,22.3176917357,30.4826378339,56.7320346399,59.701968392,42.2540416053
2012-01-26,17.0619348721,31.3795107286,16.4333734664,15.6528912386,30.0046649767,64.2573005952,22.1786538223,30.0016782124,56.376955049,59.4683011967,42.4993786086
2012-01-27,17.0846508019,31.0633169096,16.4256546438,15.682476523,30.0456955049,64.4912470779,22.2334263337,29.9360928094,56.0247806548,59.9690166152,42.6045230386
2012-01-30,17.0276338181,30.8924995591,16.3716228851,15.7166133896,29.9260958802,64.2573005952,22.0564689894,29.7976347366,55.7394257835,59.7353494199,42.2330127193
2012-01-31,17.0028734546,31.0306072042,16.3947793531,15.746198674,29.8518917335,64.3352827561,22.1280945811,29.5644421928,55.779775737,59.5851347943,42.450311208
