,IYC,IDU,IYZ,IYW,IYJ,IYH,IYF,IYE,IYK,IYM,IYR
2002-07-29 00:00:00+00:00,9.4316152937,12.5451649282,9.0843865888,7.2255390171,15.3551096396,36.8537202142,24.3015238308,8.5312522428,28.7674406818,26.5200575655,18.2034544229
2002-07-30 00:00:00+00:00,9.4210060526,13.4654973236,9.3022234674,7.280129067,15.504374165,37.2095705773,24.4957972548,8.4434116245,28.2995687376,25.4721953069,18.4828198991
2002-07-31 00:00:00+00:00,9.3085480975,13.5875010417,9.6260350438,7.1403785391,15.4814103919,38.1610835047,24.7525157078,8.6448023103,28.8409634158,25.5987826939,18.5699819276
2002-08-01 00:00:00+00:00,9.0390733748,13.3143188033,9.3905357155,6.7910022191,15.17522675,36.9388148662,24.2252021286,8.0920491514,28.6872340627,25.577684796,18.3129656896
2002-08-02 00:00:00+00:00,8.6995776612,13.0888771503,9.3375483667,6.5813764271,14.6585418544,36.8537202142,23.5209609669,8.0556274316,28.6070274437,24.4102677831,17.910679404
2002-08-05 00:00:00+00:00,8.3919096708,12.8979148089,8.9313120254,6.3979538592,14.1227204811,35.2756012126,22.7403981029,7.6699856929,28.2728331979,23.6015150331,17.6022599184
2002-08-06 00:00:00+00:00,8.657140697,13.3594071339,8.948974475,6.6621697011,14.9570709052,36.0105095712,23.6770735397,8.0192057119,28.2193621186,24.5649857005,17.6469583945
2002-08-07 00:00:00+00:00,8.8162793128,13.5105856542,8.9725244078,6.7910022191,15.0374441112,37.3178728617,23.864408627,8.1006189678,28.6738662929,25.1205636765,18.0134858992
2002-08-08 00:00:00+00:00,8.9435902054,13.5689352585,9.3257734003,7.1054409071,15.424000959,38.6329720297,24.8912824391,8.4776908902,29.3756742092,25.6409784895,18.0179557468
2002-08-09 00:00:00+00:00,8.9329809643,13.6485029008,9.3434358499,6.9766083891,15.424000959,38.4473109707,25.0578025168,8.6083805905,29.4425130583,25.8519574678,17.7922284421
2002-08-12 00:00:00+00:00,8.869325518,13.9641212151,9.3669857827,6.9111003291,15.4393101411,38.5324056228,24.9676041414,8.6233777692,29.4090936338,25.7675658765,18.0000763563
2002-08-13 00:00:00+00:00,8.7059432058,13.6060668249,9.2080237361,6.8106546371,15.0604078843,37.3024011068,24.3882530379,8.5034003394,29.3288870148,25.5214237352,17.7989332135
2002-08-14 00:00:00+00:00,9.1791153567,14.0277753289,9.6790223927,7.1622145591,15.3474550486,38.6793872945,25.255545109,8.824768455,30.0707982405,25.9152511612,17.9285587945
2002-08-15 00:00:00+00:00,9.5164892221,13.974730234,9.6201475606,7.323801107,15.4814103919,38.8727842309,25.4706335426,9.0325865031,29.790075074,25.6831742852,18.0358351373
2002-08-16 00:00:00+00:00,9.454955624,13.7784633831,10.0970337004,7.500672869,15.4737558008,38.5478773777,25.4116576818,8.9768826964,29.8435461533,25.2260531656,18.2369782801
2002-08-19 00:00:00+00:00,9.7923294894,13.8845535728,10.597469773,7.729951079,15.906240195,39.0971246773,25.9840704487,8.9790251505,30.1443209746,25.9082185286,18.2101591944
2002-08-20 00:00:00+00:00,9.6968463199,14.0171663099,10.1853459485,7.561813725,15.6919116457,38.671651417,25.4845102157,8.7604948319,30.0106432763,25.3315426547,18.1364067087
2002-08-21 00:00:00+00:00,9.9238840784,14.3937864832,10.4149577936,7.795459139,15.7761121472,39.4220315305,25.6198077788,8.7326429285,29.8569139232,25.8097616721,18.225803661
2002-08-22 00:00:00+00:00,10.0575605156,14.6643164669,10.6210197058,7.860967199,16.0593320159,40.5127902522,26.0707996558,9.0904327639,29.9705399668,26.1754585677,18.2794418324
2002-08-23 00:00:00+00:00,9.707455561,14.3884819737,10.2383332974,7.533426899,15.6115384397,39.5767490797,25.5157327303,8.9318911602,29.6764490304,25.5003258373,18.2705021372
2002-08-26 00:00:00+00:00,9.8220353643,14.6139236268,10.5385949409,7.609852969,15.745493783,39.8397689133,25.8799954001,9.071150677,29.6162940662,25.9926101199,18.3978927943
2002-08-27 00:00:00+00:00,9.5949976059,14.3619594263,10.3560829615,7.304148689,15.5962292576,38.6020285199,25.6198077788,8.9940223293,29.6363457209,25.7956964069,18.4828198991
2002-08-28 00:00:00+00:00,9.5207329185,14.3831774642,10.0970337004,7.0770540811,15.3398004575,38.400895706,25.134124219,8.7776344647,29.4558808282,25.1908900026,18.6370296419
2002-08-29 00:00:00+00:00,9.5483169452,14.1683448302,9.9498466202,7.1665817631,15.2288088874,38.485990358,25.3249284747,8.6876513924,29.1150026974,25.3174773895,18.5498676133
2002-08-30 00:00:00+00:00,9.5504387934,14.1338655185,9.8909717881,7.1032573051,15.2134997053,38.4318392158,25.328397643,8.8012014599,29.2754159354,25.6339458569,18.6370296419
2002-09-03 00:00:00+00:00,9.2279178655,13.6644164292,9.3610982995,6.7254941591,14.5858232394,36.6680591552,24.266832148,8.4155597211,28.5736080192,24.6845404548,18.4425912705
2002-09-04 00:00:00+00:00,9.4422245347,13.5981100607,9.4847354469,6.9001823191,14.8881795858,37.7510819994,24.6657865007,8.3984200883,28.9345378047,24.7970625765,18.4895246705
2002-09-05 00:00:00+00:00,9.2151867763,13.5530217301,9.1962487697,6.6381500791,14.5437229887,37.4029675138,24.2494863066,8.3941351801,28.9278539198,23.9953424592,18.4269468038
2002-09-06 00:00:00+00:00,9.5907539094,13.6060668249,9.5141728629,6.8346742591,14.8537339261,37.5035339207,24.6310948178,8.5141126099,28.7273373723,24.663442557,18.4314166514
2002-09-09 00:00:00+00:00,9.6544093557,13.5503694753,9.5907101446,6.9438543591,15.0336168157,37.828440774,24.9780116463,8.5676739625,29.3355708997,25.0361720852,18.4627055848
2002-09-10 00:00:00+00:00,9.7817202483,13.2055763589,9.7202347751,7.0508508571,15.0680624754,38.0450453428,24.7004781835,8.6619419431,29.3957258639,25.1416615743,18.4314166514
2002-09-11 00:00:00+00:00,9.7795984001,13.3328845865,10.085258734,7.0443000511,15.1446083858,38.014101833,24.5998723033,8.700506117,29.3823580941,25.3174773895,18.460470661
2002-09-12 00:00:00+00:00,9.5377077042,12.948307649,9.8379844393,6.7254941591,14.8690431082,37.2791934744,24.0205211998,8.4626937114,28.9813249991,24.9166173309,18.3263752324
2002-09-13 00:00:00+00:00,9.6544093557,13.0735736404,9.7573847942,6.8324906571,14.5784365591,37.6741873775,24.2580898439,8.5498058953,29.1689416487,24.6413600906,18.3966032433
2002-09-16 00:00:00+00:00,9.6225816326,13.2210703687,9.6389699302,6.7014745371,14.6129826173,37.7749204988,24.0177382932,8.6272380996,29.4036882474,24.5636270934,18.3739333687
2002-09-17 00:00:00+00:00,9.4634430168,12.5586759709,9.4731891206,6.5726420191,14.3749986608,37.0697886495,23.5649020382,8.2960003366,28.726276634,23.9064299359,18.1948413593
2002-09-18 00:00:00+00:00,9.4422245347,12.8858505317,9.514634323,6.4525439092,14.3519679553,37.2170139807,23.5614186824,8.3067548095,28.6189639032,23.8710967554,18.1925743718
2002-09-19 00:00:00+00:00,9.1939682942,12.6793551122,8.9995296645,6.1905116692,14.0026689225,36.2251801706,22.6418127492,8.1497395062,28.0354509293,23.298699231,18.0565551242
2002-09-20 00:00:00+00:00,9.2724766779,12.4567691405,9.2008349333,6.1905116692,14.064084137,36.2329288723,22.6034958353,8.1196269823,27.8208254677,23.7226973972,18.1358996853
2002-09-23 00:00:00+00:00,9.0602918569,12.2288196514,9.0764993261,6.0180071112,13.8606462388,35.7292632656,22.6243959702,8.126079666,27.8878959244,23.2138995978,18.0837589737
2002-09-24 00:00:00+00:00,8.8502288841,11.9043268492,8.7390169637,5.9437646432,13.549731715,35.8144989837,22.0496422619,7.893783053,27.2909688592,22.1468375463,17.8842640772
2002-09-25 00:00:00+00:00,9.0624137051,12.2154108579,8.9817674349,6.1926952712,13.937415257,36.9923016331,22.4955118053,8.1432868225,27.4921802295,22.8605677927,17.838924328
2002-09-26 00:00:00+00:00,9.334010276,12.5506306948,8.9107185165,6.1140855992,14.0333765297,37.5037159414,23.1643161203,8.457317429,28.0891072947,23.1079000563,18.0474871743
2002-09-27 00:00:00+00:00,9.0496826159,12.3789981383,8.4962664925,6.0049054992,13.6034700277,36.1166983477,22.4676449588,8.2938494421,27.2976759049,22.471902807,17.9205358765
2002-09-30 00:00:00+00:00,8.7080650541,12.381679897,8.3127234533,5.8083813192,13.3808398749,36.1012009444,22.4850617379,8.1303814552,27.2104843111,22.1539041824,17.7165070051
2002-10-01 00:00:00+00:00,8.8905440001,12.7115362165,8.7330962205,6.0376595292,13.9681228643,37.1162808593,23.4081510269,8.4035450649,27.9683804725,23.4753651336,17.6666332809
2002-10-02 00:00:00+00:00,8.7420146254,12.4728596926,8.7153339909,5.9088270112,13.4537704422,36.8838198101,22.6069791911,8.323961966,27.4988872752,22.1185710019,17.4671383844
2002-10-03 00:00:00+00:00,8.6826028755,12.3977704492,9.0587370965,5.8018305132,13.3961936786,36.8838198101,21.7361402392,8.3411691225,27.5927859146,22.3235034488,17.5464829455
2002-10-04 00:00:00+00:00,8.5616575276,11.9043268492,9.0942615557,5.6140407413,13.0046716857,35.806750282,21.0046355196,8.1949082921,27.1232927173,21.8359055578,17.1701630271
2002-10-07 00:00:00+00:00,8.1797248497,11.7997382601,8.6620473021,5.4808410193,12.6553726528,35.806750282,20.2766141559,8.1884556084,27.0495152148,21.3765742111,16.6623578359
2002-10-08 00:00:00+00:00,8.4131281529,11.3706568688,8.4962664925,5.5550834873,12.8434567474,36.4653899215,21.0917194148,8.1174760878,27.7000986455,21.5249735692,16.4583289644
2002-10-09 00:00:00+00:00,8.1500189748,10.4776312232,8.3956138581,5.4262509693,12.2676891108,36.1864366624,20.1860469049,7.8722741074,27.190363174,20.613377512,16.0684071212
2002-10-10 00:00:00+00:00,8.3706911887,11.2231601406,8.9580844621,5.7974633092,12.6592111037,36.713348374,21.1857700216,8.091665353,27.1836561283,21.6239064747,16.4583289644
2002-10-11 00:00:00+00:00,8.7398927772,11.3706568688,9.4080609454,6.1228200072,13.2810401512,37.1627730692,22.3108939475,8.2422279725,27.7336338739,22.4931027153,16.8210469581
2002-10-14 00:00:00+00:00,8.8099137681,11.2607047623,9.3014875678,6.2101640872,13.2234633876,37.9996328464,22.4328114008,8.4186013268,28.2165411626,22.3447033572,16.6102171243
2002-10-15 00:00:00+00:00,9.2300397137,11.4242920427,9.869878915,6.6490680891,13.9566075115,38.805497817,23.9271710422,8.6702559909,28.6994484513,23.5884313113,16.9343963312
2002-10-16 00:00:00+00:00,8.9754179285,10.9442572362,9.5383172958,6.2123476892,13.5535701659,38.9372257449,23.477818143,8.5175424768,27.8677747874,22.9100342454,16.8437168327
2002-10-17 00:00:00+00:00,9.1345565443,11.166843208,9.9764522926,6.5267863771,13.9258999042,39.2084303023,24.1222389674,8.7261792496,28.022036838,23.708564125,17.002405955
2002-10-18 00:00:00+00:00,9.242770803,11.2151148645,10.0297389814,6.5835600291,13.9566075115,39.3324095286,24.2546064881,8.7412355116,28.3909243502,23.5813646752,17.0590806415
2002-10-21 00:00:00+00:00,9.4422245347,11.8587369514,10.2488064798,6.7800842091,14.409544719,39.4408913516,24.5576584434,8.7584426681,29.1890627857,24.3233614659,16.9797360804
2002-10-22 00:00:00+00:00,9.4273715973,11.6120151514,10.5685266126,6.6381500791,14.1830761153,38.8209952203,24.2615731997,8.491731742,28.706155497,23.7438973055,16.6442219362
