,IYC,IDU,IYZ,IYW,IYJ,IYH,IYF,IYE,IYK,IYM,IYR,IYCMA10,IYCMA50,IYCsignal,IYCPosition,IDUMA10,IDUMA50,IDUsignal,IDUPosition,IYZMA10,IYZMA50,IYZsignal,IYZPosition,IYWMA10,IYWMA50,IYWsignal,IYWPosition,IYJMA10,IYJMA50,IYJsignal,IYJPosition,IYHMA10,IYHMA50,IYHsignal,IYHPosition,IYFMA10,IYFMA50,IYFsignal,IYFPosition,IYEMA10,IYEMA50,IYEsignal,IYEPosition,IYKMA10,IYKMA50,IYKsignal,IYKPosition,IYMMA10,IYMMA50,IYMsignal,IYMPosition,IYRMA10,IYRMA50,IYRsignal,IYRPosition,DateM,GDP,CPI,Growth,Inflation,Theme
0,9.4316152937,12.5451649282,9.0843865888,7.2255390171,15.3551096396,36.8537202142,24.3015238308,8.5312522428,28.7674406818,26.5200575655,18.2034544229,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,2002-07,2.1406699897993158,2.1995708154506355,low,high,Stagflation
1,9.4210060526,13.4654973236,9.3022234674,7.280129067,15.504374165,37.2095705773,24.4957972548,8.4434116245,28.2995687376,25.4721953069,18.4828198991,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,2002-07,2.1406699897993158,2.1995708154506355,low,high,Stagflation
2,9.3085480975,13.5875010417,9.6260350438,7.1403785391,15.4814103919,38.1610835047,24.7525157078,8.6448023103,28.8409634158,25.5987826939,18.5699819276,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,2002-07,2.1406699897993158,2.1995708154506355,low,high,Stagflation
3,9.0390733748,13.3143188033,9.3905357155,6.7910022191,15.17522675,36.9388148662,24.2252021286,8.0920491514,28.6872340627,25.577684796,18.3129656896,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,2002-08,2.1406699897993158,2.3567220139260936,low,high,Stagflation
4,8.6995776612,13.0888771503,9.3375483667,6.5813764271,14.6585418544,36.8537202142,23.5209609669,8.0556274316,28.6070274437,24.4102677831,17.910679404,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,2002-08,2.1406699897993158,2.3567220139260936,low,high,Stagflation
5,8.3919096708,12.8979148089,8.9313120254,6.3979538592,14.1227204811,35.2756012126,22.7403981029,7.6699856929,28.2728331979,23.6015150331,17.6022599184,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,2002-08,2.1406699897993158,2.3567220139260936,low,high,Stagflation
6,8.657140697,13.3594071339,8.948974475,6.6621697011,14.9570709052,36.0105095712,23.6770735397,8.0192057119,28.2193621186,24.5649857005,17.6469583945,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,2002-08,2.1406699897993158,2.3567220139260936,low,high,Stagflation
7,8.8162793128,13.5105856542,8.9725244078,6.7910022191,15.0374441112,37.3178728617,23.864408627,8.1006189678,28.6738662929,25.1205636765,18.0134858992,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,2002-08,2.1406699897993158,2.3567220139260936,low,high,Stagflation
8,8.9435902054,13.5689352585,9.3257734003,7.1054409071,15.424000959,38.6329720297,24.8912824391,8.4776908902,29.3756742092,25.6409784895,18.0179557468,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,2002-08,2.1406699897993158,2.3567220139260936,low,high,Stagflation
9,8.9329809643,13.6485029008,9.3434358499,6.9766083891,15.424000959,38.4473109707,25.0578025168,8.6083805905,29.4425130583,25.8519574678,17.7922284421,8.964172133009999,,0.0,0.0,13.29867050034,,0.0,0.0,9.22627493406,,0.0,0.0,6.8951600345,,0.0,0.0,15.113990021640001,,0.0,0.0,37.17011760225,,0.0,0.0,24.15269651144,,0.0,0.0,8.264302461389999,,0.0,0.0,28.718648321850004,,0.0,0.0,25.23589885128,,0.0,0.0,18.05527897442,,0.0,0.0,2002-08,2.1406699897993158,2.3567220139260936,low,high,Stagflation
