,IDU,IYH,IYK,IYE,IYF,IYC,IYZ,IYW,IYM,IYJ
2002-07-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002-07-29,0.2878989899372618,0.25926592170689705,0.2848839650718654,0.16769882533671962,0.0,0.0,0.0,0.0,0.0,0.0
2002-07-30,0.3037752921071257,0.2573268140488913,0.27549446614616074,0.16315541152570734,0.0,0.0,0.0,0.0,0.0,0.0
2002-07-31,0.3009614671159558,0.25911487057641713,0.27566655673784624,0.1640135930716739,0.0,0.0,0.0,0.0,0.0,0.0
2002-08-01,0.30287823415836457,0.2575920209033606,0.2816052861688911,0.15767436719299743,0.0,0.0,0.0,0.0,0.0,0.0
2002-08-02,0.2999148560480066,0.25886733782309923,0.2828598670522943,0.15810602900097384,0.0,0.0,0.0,0.0,0.0,0.0
2002-08-05,0.3035324214103111,0.2544839180102944,0.2871163513995333,0.15460858588494314,0.0,0.0,0.0,0.0,0.0,0.0
2002-08-06,0.3074270348974206,0.2540296873867804,0.2802238378075884,0.1580664490536219,0.0,0.0,0.0,0.0,0.0,0.0
2002-08-07,0.30516293424413765,0.25838947740532525,0.27947751682489147,0.1567217538936602,0.0,0.0,0.0,0.0,0.0,0.0
2002-08-08,0.2991343638827712,0.2610832389399188,0.27945468344445307,0.16008534840694846,0.0,0.0,0.0,0.0,0.0,0.0
2002-08-09,0.2998082406622658,0.25889571096111125,0.2790849639336993,0.1619695892443072,0.0,0.0,0.0,0.0,0.0,0.0
2002-08-12,0.3044664439350313,0.2575445025296495,0.2767008402707317,0.1610485089915936,0.0,0.0,0.0,0.0,0.0,0.0
2002-08-13,0.3024124959845534,0.2541582763586227,0.2812974068656455,0.1618874681238358,0.0,0.0,0.0,0.0,0.0,0.0
2002-08-14,0.30212096048419523,0.2553712351077915,0.2794731082056549,0.16279791784340913,0.0,0.0,0.0,0.0,0.0,0.0
2002-08-15,0.30056997416200854,0.2562997275057176,0.27648830856229195,0.1664055328044359,0.0,0.0,0.0,0.0,0.0,0.0
2002-08-16,0.2984056991050164,0.255921711502717,0.2789072263487871,0.1665272647526165,0.0,0.0,0.0,0.0,0.0,0.0
2002-08-19,0.2980817663698595,0.2573052488469584,0.279262106190262,0.16511485607365295,0.0,0.0,0.0,0.0,0.0,0.0
2002-08-20,0.302504844388215,0.25583806518196855,0.2794798010859331,0.16194003069174098,0.0,0.0,0.0,0.0,0.0,0.0
2002-08-21,0.3072086640896104,0.257927554497968,0.27498330844366503,0.1596458295623919,0.0,0.0,0.0,0.0,0.0,0.0
2002-08-22,0.3066959910861552,0.2597399580927813,0.2704854169671979,0.16284870354333614,0.0,0.0,0.0,0.0,0.0,0.0
2002-08-23,0.3062136982316103,0.25819634541552866,0.27253644359876256,0.1628195430700114,0.0,0.0,0.0,0.0,0.0,0.0
2002-08-26,0.3083902400503167,0.25772167077032054,0.269691661198879,0.16396443024663315,0.0,0.0,0.0,0.0,0.0,0.0
2002-08-27,0.3075434616673576,0.2533980485562785,0.2738548699724591,0.16496820012988178,0.0,0.0,0.0,0.0,0.0,0.0
2002-08-28,0.31001369041675014,0.2537276074898581,0.2739687708293126,0.16205297074904063,0.0,0.0,0.0,0.0,0.0,0.0
2002-08-29,0.3081255269962276,0.2565733612624793,0.273230016899291,0.1618320064383738,0.0,0.0,0.0,0.0,0.0,0.0
2002-08-30,0.30660618630996306,0.2555709357600923,0.2740476269088984,0.16353676116602692,0.0,0.0,0.0,0.0,0.0,0.0
2002-09-03,0.3073799563707312,0.25285568062057173,0.27736557086696195,0.1621514862819731,0.0,0.0,0.0,0.0,0.0,0.0
2002-09-04,0.3031148768205756,0.25796360617436315,0.2783224652490665,0.16035398824511396,0.0,0.0,0.0,0.0,0.0,0.0
2002-09-05,0.30318001923577814,0.25649023614095406,0.27924388422173807,0.16083992876905873,0.0,0.0,0.0,0.0,0.0,0.0
2002-09-06,0.30368652053105044,0.2566051951255096,0.27668862421970075,0.16277427803036304,0.0,0.0,0.0,0.0,0.0,0.0
2002-09-09,0.3000840603362988,0.25680919343623954,0.2803427620154245,0.16252051629435518,0.0,0.0,0.0,0.0,0.0,0.0
2002-09-10,0.2935645265245087,0.2592654562955553,0.2819898110124288,0.16493580900136234,0.0,0.0,0.0,0.0,0.0,0.0
2002-09-11,0.29544173915669997,0.25822173868569986,0.28095540528893975,0.1651375054266437,0.0,0.0,0.0,0.0,0.0,0.0
2002-09-12,0.29333287688957727,0.25888958289253594,0.2833146174523356,0.16421386637882796,0.0,0.0,0.0,0.0,0.0,0.0
2002-09-13,0.2934982714133359,0.25927190552197205,0.2825757669705811,0.1644072469867328,0.0,0.0,0.0,0.0,0.0,0.0
2002-09-16,0.2945218077997634,0.2579614061452425,0.2826543433771986,0.1646175359070604,0.0,0.0,0.0,0.0,0.0,0.0
2002-09-17,0.289134832183842,0.2616236527637224,0.2853901046362456,0.16359830204429437,0.0,0.0,0.0,0.0,0.0,0.0
2002-09-18,0.2943952975590726,0.2606511471135492,0.28214652070871316,0.16255586463911054,0.0,0.0,0.0,0.0,0.0,0.0
2002-09-19,0.2957370896615214,0.2590117816895306,0.28217542525367645,0.1628192794484845,0.0,0.0,0.0,0.0,0.0,0.0
2002-09-20,0.2928584396601269,0.2611296012694809,0.282244412544799,0.1635090812054557,0.0,0.0,0.0,0.0,0.0,0.0
2002-09-23,0.2898700868235397,0.2596230558797395,0.2852578618089116,0.16498839884799416,0.0,0.0,0.0,0.0,0.0,0.0
2002-09-24,0.2873198406653931,0.2649842066871155,0.28423839448755767,0.16319221327172154,0.0,0.0,0.0,0.0,0.0,0.0
2002-09-25,0.2880653697731957,0.26742047919740397,0.27976615150045475,0.16448874107650543,0.0,0.0,0.0,0.0,0.0,0.0
2002-09-26,0.2890281371300855,0.26475807186188677,0.27913578951746776,0.16682482433033402,0.0,0.0,0.0,0.0,0.0,0.0
2002-09-27,0.2923353367200217,0.26145936072399195,0.27817910378308036,0.16776657421599842,0.0,0.0,0.0,0.0,0.0,0.0
2002-09-30,0.29364489498610774,0.2624610538106061,0.2784724064448616,0.1651609136601098,0.0,0.0,0.0,0.0,0.0,0.0
2002-10-01,0.2878878729412951,0.2592660409103881,0.28489906631939715,0.1676923294327564,0.0,0.0,0.0,0.0,0.0,0.0
2002-10-02,0.2863190124208707,0.2611414996711641,0.28392108522400383,0.16836025312490077,0.0,0.0,0.0,0.0,0.0,0.0
2002-10-03,0.28471095628049925,0.2612476139115339,0.2850063364762448,0.16877683887418926,0.0,0.0,0.0,0.0,0.0,0.0
2002-10-04,0.2808987008080053,0.2605947411051444,0.2878628853436756,0.1703783147798699,0.0,0.0,0.0,0.0,0.0,0.0
2002-10-07,0.27937650200765696,0.2614798701468095,0.28805496324858054,0.170822405325975,0.0,0.0,0.0,0.0,0.0,0.0
2002-10-08,0.26919096618741367,0.2662635026138727,0.2949542226527939,0.16932507537526473,0.0,0.0,0.0,0.0,0.0,0.0
2002-10-09,0.25670568731503784,0.273447560412336,0.29963032505342396,0.16994090310233398,0.0,0.0,0.0,0.0,0.0,0.0
2002-10-10,0.26776594969975787,0.2701593711082982,0.29170671899623907,0.17009965602312443,0.0,0.0,0.0,0.0,0.0,0.0
2002-10-11,0.26704088919686914,0.2691882979672124,0.2929526051825678,0.1705541009352377,0.0,0.0,0.0,0.0,0.0,0.0
2002-10-14,0.2612633548030922,0.27192440021439285,0.2944523863089845,0.1720989430025603,0.0,0.0,0.0,0.0,0.0,0.0
2002-10-15,0.2599262805809128,0.2723140232472555,0.29369247651330505,0.1738113562784232,0.0,0.0,0.0,0.0,0.0,0.0
2002-10-16,0.25449384062157243,0.2792619976474076,0.29146851673344043,0.17451414106716792,0.0,0.0,0.0,0.0,0.0,0.0
2002-10-17,0.2563350656628721,0.27759581169809844,0.28931814813611206,0.17649282883642067,0.0,0.0,0.0,0.0,0.0,0.0
2002-10-18,0.2558825115448717,0.2767854668491449,0.2913498417113966,0.17572559911759025,0.0,0.0,0.0,0.0,0.0,0.0
2002-10-21,0.26422984058350013,0.27104787079820963,0.2925243027899305,0.1719474149103034,0.0,0.0,0.0,0.0,0.0,0.0
2002-10-22,0.26396781617462844,0.27218607451106397,0.29350587167442604,0.1700845965721377,0.0,0.0,0.0,0.0,0.0,0.0
2002-10-23,0.2689143775702079,0.2679438032077051,0.29048099503096025,0.17240627141606163,0.0,0.0,0.0,0.0,0.0,0.0
2002-10-24,0.27074107276873727,0.26735119739184066,0.29051878717132157,0.17113120625965503,0.0,0.0,0.0,0.0,0.0,0.0
2002-10-25,0.2715882374428096,0.270298168730997,0.2897188760867646,0.16813993443075712,0.0,0.0,0.0,0.0,0.0,0.0
2002-10-28,0.27855678629271463,0.26854106851845805,0.2843601569439158,0.1682859375244938,0.0,0.0,0.0,0.0,0.0,0.0
2002-10-29,0.2779583458719089,0.267730509148317,0.290501034796878,0.16355342798089909,0.0,0.0,0.0,0.0,0.0,0.0
2002-10-30,0.2779718577589313,0.26747582453641305,0.2870050542742723,0.16729330906433176,0.0,0.0,0.0,0.0,0.0,0.0
2002-10-31,0.281493206274847,0.26655330244009445,0.2860120090711914,0.16568598069752496,0.0,0.0,0.0,0.0,0.0,0.0
2002-11-01,0.27894373402255956,0.26644866713861776,0.28636318283376433,0.16799204793217393,0.0,0.0,0.0,0.0,0.0,0.0
2002-11-04,0.2881363704222651,0.2665044743569328,0.28024994211611925,0.16485643600632738,0.0,0.0,0.0,0.0,0.0,0.0
2002-11-05,0.2840056147479823,0.26693428912424577,0.2812718043793868,0.16753887759770708,0.0,0.0,0.0,0.0,0.0,0.0
2002-11-06,0.28478523652514703,0.27088968986357875,0.27752772602550624,0.16654984046766508,0.0,0.0,0.0,0.0,0.0,0.0
2002-11-07,0.2795054367718095,0.2725834296253393,0.2817246417837776,0.16593524177215016,0.0,0.0,0.0,0.0,0.0,0.0
2002-11-08,0.27629850318211296,0.27397514190107813,0.28213452145530177,0.16733735652873458,0.0,0.0,0.0,0.0,0.0,0.0
2002-11-11,0.2744332470809789,0.2730291927120183,0.28551949058316456,0.16676004009749545,0.0,0.0,0.0,0.0,0.0,0.0
2002-11-12,0.2726895108798405,0.27796949720085806,0.2801329891880328,0.16894692978992754,0.0,0.0,0.0,0.0,0.0,0.0
2002-11-13,0.2751930331195308,0.27452948089074136,0.2849200734686113,0.16509644513454413,0.0,0.0,0.0,0.0,0.0,0.0
2002-11-14,0.27529139753085685,0.27452094081537964,0.2831605848430813,0.16677037005819464,0.0,0.0,0.0,0.0,0.0,0.0
2002-11-15,0.27676343121063973,0.2741108904228101,0.28204126709829985,0.16683050990974757,0.0,0.0,0.0,0.0,0.0,0.0
2002-11-18,0.27667170098060473,0.27295077825251574,0.2825596736635444,0.16756341761933105,0.0,0.0,0.0,0.0,0.0,0.0
2002-11-19,0.2763453409304026,0.27252214862818364,0.28388642264027647,0.16699089513764964,0.0,0.0,0.0,0.0,0.0,0.0
2002-11-20,0.27575268503106726,0.2730262280559007,0.2823310748861993,0.16863731433572768,0.0,0.0,0.0,0.0,0.0,0.0
