Date,GDP,CPI,Growth,Inflation,Theme
1958-01-01,-2.8714282899375165,2.807017543859658,low,high,Stagflation
1958-02-01,-2.8714282899375165,2.7972027972027917,low,high,Stagflation
1958-03-01,-2.8714282899375165,2.7874564459930307,low,high,Stagflation
1958-04-01,-2.0184094850250967,2.430555555555558,low,high,Stagflation
1958-05-01,-2.0184094850250967,2.430555555555558,low,high,Stagflation
1958-06-01,-2.0184094850250967,2.422145328719738,low,high,Stagflation
1958-07-01,-0.7247978855669746,2.0689655172413834,low,high,Stagflation
1958-08-01,-0.7247978855669746,2.0689655172413834,low,high,Stagflation
1958-09-01,-0.7247978855669746,2.061855670103085,low,high,Stagflation
1960-04-01,2.058208211858825,2.0000000000000018,low,high,Stagflation
1969-10-01,2.046645083371401,5.962059620596216,low,high,Stagflation
1969-11-01,2.046645083371401,5.660377358490565,low,high,Stagflation
1969-12-01,2.046645083371401,5.913978494623651,low,high,Stagflation
1970-01-01,0.3249346028238564,6.166219839142095,low,high,Stagflation
1970-02-01,0.3249346028238564,5.8510638297872175,low,high,Stagflation
1970-03-01,0.3249346028238564,6.084656084656093,low,high,Stagflation
1970-04-01,0.1628354507476448,6.036745406824129,low,high,Stagflation
1970-05-01,0.1628354507476448,6.299212598425186,low,high,Stagflation
1970-06-01,0.1628354507476448,6.5274151436031325,low,high,Stagflation
1970-07-01,0.4225814763759272,6.233766233766236,low,high,Stagflation
1970-08-01,0.4225814763759272,6.201550387596888,low,high,Stagflation
1970-09-01,0.4225814763759272,6.169665809768632,low,high,Stagflation
1970-10-01,-0.1667035906259606,6.13810741687979,low,high,Stagflation
1970-11-01,-0.1667035906259606,6.632653061224469,low,high,Stagflation
1970-12-01,-0.1667035906259606,6.598984771573613,low,high,Stagflation
1974-01-01,0.638773877199994,5.156950672645744,low,high,Stagflation
1974-02-01,0.638773877199994,5.35714285714286,low,high,Stagflation
1974-03-01,0.638773877199994,5.777777777777771,low,high,Stagflation
1974-04-01,-0.2084181959456921,6.208425720620836,low,high,Stagflation
1974-05-01,-0.2084181959456921,7.064017660044164,low,high,Stagflation
1974-06-01,-0.2084181959456921,7.929515418502198,low,high,Stagflation
1974-07-01,-0.6290004928019011,8.791208791208781,low,high,Stagflation
1974-08-01,-0.6290004928019011,9.84682713347922,low,high,Stagflation
1974-09-01,-0.6290004928019011,10.217391304347824,low,high,Stagflation
1974-10-01,-1.945449393820109,10.583153347732187,low,high,Stagflation
1974-11-01,-1.945449393820109,10.967741935483865,low,high,Stagflation
1974-12-01,-1.945449393820109,11.34903640256959,low,high,Stagflation
1975-01-01,-2.2990475952479605,11.513859275053306,low,high,Stagflation
1975-02-01,-2.2990475952479605,11.864406779661008,low,high,Stagflation
1975-03-01,-2.2990475952479605,11.344537815126056,low,high,Stagflation
1975-04-01,-1.834262400105069,11.27348643006263,low,high,Stagflation
1975-05-01,-1.834262400105069,10.309278350515472,low,high,Stagflation
1975-06-01,-1.834262400105069,9.795918367346925,low,high,Stagflation
1975-07-01,0.7986848693509963,9.090909090909085,low,high,Stagflation
1975-08-01,0.7986848693509963,7.968127490039834,low,high,Stagflation
1975-09-01,0.7986848693509963,7.495069033530566,low,high,Stagflation
1979-07-01,2.389915412970889,9.60365853658538,low,high,Stagflation
1979-08-01,2.389915412970889,9.984871406959162,low,high,Stagflation
1979-09-01,2.389915412970889,9.8950524737631,low,high,Stagflation
1979-10-01,1.284557672337483,10.119047619047606,low,high,Stagflation
1979-11-01,1.284557672337483,10.650887573964509,low,high,Stagflation
1979-12-01,1.284557672337483,11.32352941176471,low,high,Stagflation
1980-01-01,1.4207752658691453,11.970802919708024,low,high,Stagflation
1980-02-01,1.4207752658691453,11.994219653179194,low,high,Stagflation
1980-03-01,1.4207752658691453,12.60744985673352,low,high,Stagflation
1980-04-01,-0.7750627129578969,13.086770981507833,low,high,Stagflation
1980-05-01,-0.7750627129578969,13.13559322033897,low,high,Stagflation
1980-06-01,-0.7750627129578969,13.604488078541376,low,high,Stagflation
1980-07-01,-1.6237974306972824,12.37830319888733,low,high,Stagflation
1980-08-01,-1.6237974306972824,11.82943603851443,low,high,Stagflation
1980-09-01,-1.6237974306972824,12.005457025920862,low,high,Stagflation
1980-10-01,-0.0391316153542486,12.162162162162172,low,high,Stagflation
1980-11-01,-0.0391316153542486,12.165775401069537,low,high,Stagflation
1980-12-01,-0.0391316153542486,12.153236459709383,low,high,Stagflation
1981-01-01,1.5999797720674502,11.342894393741854,low,high,Stagflation
1981-02-01,1.5999797720674502,10.838709677419356,low,high,Stagflation
1981-03-01,1.5999797720674502,9.92366412213741,low,high,Stagflation
1981-10-01,1.2999011572913275,10.96385542168674,low,high,Stagflation
1981-11-01,1.2999011572913275,10.2502979737783,low,high,Stagflation
1981-12-01,1.2999011572913275,9.540636042402827,low,high,Stagflation
1982-01-01,-2.190348982485057,9.250585480093676,low,high,Stagflation
1982-02-01,-2.190348982485057,9.196740395809066,low,high,Stagflation
1982-03-01,-2.190348982485057,8.680555555555557,low,high,Stagflation
1982-04-01,-1.010568146574331,8.850574712643677,low,high,Stagflation
1982-05-01,-1.010568146574331,8.656036446469262,low,high,Stagflation
1982-06-01,-1.010568146574331,8.465011286681712,low,high,Stagflation
1982-07-01,-2.555921432805419,7.683741648106901,low,high,Stagflation
1982-08-01,-2.555921432805419,7.056229327453134,low,high,Stagflation
1982-09-01,-2.555921432805419,5.882352941176472,low,high,Stagflation
1982-10-01,-1.4431561787404457,5.863192182410426,low,high,Stagflation
1982-11-01,-1.4431561787404457,5.189189189189181,low,high,Stagflation
1982-12-01,-1.4431561787404457,4.516129032258065,low,high,Stagflation
1983-01-01,1.4314555774158633,4.608788853161849,low,high,Stagflation
1983-02-01,1.4314555774158633,4.47761194029852,low,high,Stagflation
1983-03-01,1.4314555774158633,4.579339723109688,low,high,Stagflation
1990-04-01,2.412772955183762,4.851330203442883,low,high,Stagflation
1990-05-01,2.412772955183762,4.754481683554168,low,high,Stagflation
1990-06-01,2.412772955183762,4.891304347826075,low,high,Stagflation
1990-07-01,1.7272166368697883,5.10835913312695,low,high,Stagflation
1990-08-01,1.7272166368697883,5.4826254826254806,low,high,Stagflation
1990-09-01,1.7272166368697883,5.54272517321015,low,high,Stagflation
1990-10-01,0.6028586964982319,5.359877488514542,low,high,Stagflation
1990-11-01,0.6028586964982319,5.263157894736836,low,high,Stagflation
1990-12-01,0.6028586964982319,5.319148936170204,low,high,Stagflation
1991-01-01,-0.950240697101612,5.601816805450421,low,high,Stagflation
1991-02-01,-0.950240697101612,5.6518462697814575,low,high,Stagflation
1991-03-01,-0.950240697101612,5.243445692883886,low,high,Stagflation
1991-04-01,-0.5388879602283181,5.149253731343295,low,high,Stagflation
1991-05-01,-0.5388879602283181,5.133928571428581,low,high,Stagflation
1991-06-01,-0.5388879602283181,4.959289415247969,low,high,Stagflation
1991-07-01,-0.1027168500506214,4.786450662739328,low,high,Stagflation
1991-08-01,-0.1027168500506214,4.612005856515378,low,high,Stagflation
1991-09-01,-0.1027168500506214,4.595185995623652,low,high,Stagflation
1991-10-01,1.1665033422485704,4.433139534883712,low,high,Stagflation
